#separator:comma
#deck column:18
16,納得〈する〉,なっとく,納[なっ]得[とく],同意，认同,acknowledgement,名・動,父は私の留学をやっと納得してくれた。,父亲终于同意让我去留学了。,,,[sound:JLPT_TangoN2_Word_0016.mp3],[sound:JLPT_TangoN2_Sentence_0016.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
17,逆らう,さからう,逆[さか]らう,违背，违抗；逆（方向），反,to go against,動,"①若いときは、よく親に逆らった。 
②強い風に逆らって歩く。","①我年轻时总是违抗父母的意思。 
②顶着强风前行。",＋抵抗〈する〉resistance / 抵抗,①违抗亲人或上级；②与事物行进的方向相反,[sound:JLPT_TangoN2_Word_0017.mp3],[sound:JLPT_TangoN2_Sentence_0017.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
18,反省〈する〉,はんせい,反[はん]省[せい],反省,reflection,名・動,昔親に逆らったことを、今は反省している。,我现在正在反省自己当年违抗了父母的意思。,＋反省会 reflection meeting / 反省会，检讨会,,[sound:JLPT_TangoN2_Word_0018.mp3],[sound:JLPT_TangoN2_Sentence_0018.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
19,放っておく,ほうっておく,放[ほう]っておく,搁置，放着不管,to leave alone,動,欠はいちいちうるさい。放っておいてほしい。,爸爸很喫嗦，真希望他不要管我。,,,[sound:JLPT_TangoN2_Word_0019.mp3],[sound:JLPT_TangoN2_Sentence_0019.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
20,介護〈する〉,かいご,介[かい]護[ご],护理，照顾,nursing,名・動,家族みんなで祖母を介護している。,全家人一起照顾奶奶。,＋介護士 nurse / 护理员,,[sound:JLPT_TangoN2_Word_0020.mp3],[sound:JLPT_TangoN2_Sentence_0020.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
21,ホームヘルパー,ホームヘルパー,ホームヘルパー,家庭护理人员,"home helper, home care worker",名,週に3回、ホームヘルパーに来てもらう。,每周请家庭护理人员来3次。,＝ヘルパー,,[sound:JLPT_TangoN2_Word_0021.mp3],[sound:JLPT_TangoN2_Sentence_0021.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
22,世代,せだい,世[せ]代[だい],一代（人），世代，辈分,generation,名,世代が違うと、話が合わないこともある。,不是一代人，有时说话会有代沟。,"＝ジェネレーション
＋世代交代 generation change / 世代更替",,[sound:JLPT_TangoN2_Word_0022.mp3],[sound:JLPT_TangoN2_Sentence_0022.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
23,継ぐ,つぐ,継[つ]ぐ,继承,to inherit,動,来年、父の会社を継ぐことになった。,明年我将接手父亲的公司。,＋受け継ぐ to inherit / 接管，继承,,[sound:JLPT_TangoN2_Word_0023.mp3],[sound:JLPT_TangoN2_Sentence_0023.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
24,妊娠〈する〉,にんしん,妊[にん]娠[しん],怀孕、妊娠,pregnancy,名・動,妹は妊娠3か月だ。,妹妹怀孕3个月了。,"＋産婦人科 obstetrics and gynecology / 妇产科
＋妊婦 pregnant woman / 孕妇",,[sound:JLPT_TangoN2_Word_0024.mp3],[sound:JLPT_TangoN2_Sentence_0024.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
25,出産〈する〉,しゅっさん,出[しゅっ]産[さん],生育、分娩,child birth,名・動,実家の近くの病院で出産することにした。,我決定在娘家附近的医院生孩子。,＋出産祝い baby gift / 庆祝新生儿降生的贺礼,,[sound:JLPT_TangoN2_Word_0025.mp3],[sound:JLPT_TangoN2_Sentence_0025.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
26,産む,うむ,産[う]む,生、分娩,to give birth,動,姉は二十歳のときに長男を産んだ。,姐姐二十岁的时候生了她的大儿子。,＋生まれる to be born / 出生,,[sound:JLPT_TangoN2_Word_0026.mp3],[sound:JLPT_TangoN2_Sentence_0026.mp3],1,1,人と人との関係,家族,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 1 家族
27,友人,ゆうじん,友[ゆう]人[じん],朋友，友人,friend,名,国から友人が遊びに来た。,国内的朋友来玩。,＋友人達 friends / 朋友们，友人们,,[sound:JLPT_TangoN2_Word_0027.mp3],[sound:JLPT_TangoN2_Sentence_0027.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
28,仲,なか,仲[なか],关系,relationship,名,このクラスの生徒は、とても仲がいい。,这个班级的学生关系都很好。,＋仲良し friends / 好朋友,,[sound:JLPT_TangoN2_Word_0028.mp3],[sound:JLPT_TangoN2_Sentence_0028.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
29,縁,えん,縁[えん],缘，缘分,fate,名,縁があって、彼女と親友になれた。,我有缘与她成了挚友。,,,[sound:JLPT_TangoN2_Word_0029.mp3],[sound:JLPT_TangoN2_Sentence_0029.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
30,ニックネーム,ニックネーム,ニックネーム,昵称,nickname,名,彼と私はニックネームで呼び合っている。,他和我以昵称互相称呼对方。,"＝愛称
＝あだ名",,[sound:JLPT_TangoN2_Word_0030.mp3],[sound:JLPT_TangoN2_Sentence_0030.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
31,大半,たいはん,大[たい]半[はん],大半，大部分,most of,名,一日の大半の時間を友達と過ごしている。,一天中的大部分时间我都和朋友一起度过。,,,[sound:JLPT_TangoN2_Word_0031.mp3],[sound:JLPT_TangoN2_Sentence_0031.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
