序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
19,おじ,おじ,おじ,姑丈，姨夫，叔，伯，舅,uncle,名,父とおじは二人兄弟だ。,我爸和我叔叔是两兄弟。,,叔叔和伯父都是“おじ”，只不过对应的汉字不一样。叔叔是“叔父”，伯父是“伯父”,[sound:JLPT_TangoN3_Word_0019.mp3],[sound:JLPT_TangoN3_Sentence_0019.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
20,おば,おば,おば,姑，姨，姉，伯母，舅妈,aunt,名,私は母親よりおばに、いろいろ相談する。,比起母亲，我跟伯母聊得更多。,,姨和伯母都是“おば”，只不过对应的汉字不一样。姨是“叔母”，伯母是“伯母”,[sound:JLPT_TangoN3_Word_0020.mp3],[sound:JLPT_TangoN3_Sentence_0020.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
21,いとこ,いとこ,いとこ,堂兄弟，堂姐妹，表兄弟，表姐妹,cousin,名,今日、いとこが遊びに来る。,表弟今天要来玩。,,男女通用。,[sound:JLPT_TangoN3_Word_0021.mp3],[sound:JLPT_TangoN3_Sentence_0021.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
22,甥*,おい,おい,侄子，外甥,nephew,名,おいが生まれて、私もおばさんになった。,外甥出生了，我也变成小姨了。,,,[sound:JLPT_TangoN3_Word_0022.mp3],[sound:JLPT_TangoN3_Sentence_0022.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
23,姪*,めい,めい,侄女，外甥女,niece,名,おいもめいも、とてもかわいい。,侄子和侄女都很可爱。,,,[sound:JLPT_TangoN3_Word_0023.mp3],[sound:JLPT_TangoN3_Sentence_0023.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
24,連れる,つれる,連[つ]れる,带,"to take, to lead",动,子どもを連れて、近所の公園に行く。,带孩子去附近的公园。,,,[sound:JLPT_TangoN3_Word_0024.mp3],[sound:JLPT_TangoN3_Sentence_0024.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
25,似る,にる,似[に]る,像,"to resemble, to look like",动,"A「お父さんとお母さん、どちらに似ていますか。」
B「父に似ていると言われます。」","A：你是像爸爸还是像妈妈？
B：他们说我像爸爸。",,通常以“似ている”的形式出现,[sound:JLPT_TangoN3_Word_0025.mp3],[sound:JLPT_TangoN3_Sentence_0025.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
26,そっくりな,そっくりな,そっくりな,一模一样,exactly like,ナ形,妹の顔は、父親にそっくりだ。,妹妹的脸长得跟父亲一模一样。,,,[sound:JLPT_TangoN3_Word_0026.mp3],[sound:JLPT_TangoN3_Sentence_0026.mp3],1,1,人と人との関係,家族,万词对策N3::Chapter 1 人と人との関係::Section 1 家族
27,親友,しんゆう,親[しん] 友[ゆう],知心朋友,close friend,名,私には親友が3人います。,我有3个知心朋友。,,,[sound:JLPT_TangoN3_Word_0027.mp3],[sound:JLPT_TangoN3_Sentence_0027.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
28,仲間,なかま,仲[なか] 間[ま],伙伴,"comrade, mate, friend, fellow member of a group",名,彼もサッカーの仲間に入れよう。,让他也加入足球队吧。,"＋遊び仲間 playmate / 玩伴
＋テニス仲間 tennis partner / 一起打网球的球友",,[sound:JLPT_TangoN3_Word_0028.mp3],[sound:JLPT_TangoN3_Sentence_0028.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
